销售日期,分类名称,销量(千克)
2022-11-20,花叶类,146.034
2022-11-21,花叶类,821.168
2022-11-22,花叶类,173.192
2022-11-23,花叶类,247.572
2022-11-24,花叶类,260.618
2022-11-25,花叶类,228.796
2022-11-26,花叶类,352.511
2022-11-27,花叶类,40.471
2022-11-28,花叶类,40.862
2022-11-29,花叶类,31.298
2022-12-04,花叶类,99.399
2022-12-05,花叶类,170.093
2022-12-06,花叶类,226.171
2022-12-07,花叶类,272.787
2022-12-08,花叶类,173.924
2022-12-09,花叶类,140.88
2022-12-10,花叶类,231.009
2022-12-11,花叶类,204.481
2022-12-12,花叶类,173.035
2022-12-13,花叶类,185.802
2022-12-14,花叶类,226.115
2022-12-15,花叶类,291.759
2022-12-16,花叶类,305.67
2022-12-17,花叶类,265.09
2022-12-18,花叶类,295.364
2022-12-19,花叶类,201.178
2022-12-20,花叶类,252.224
2022-12-21,花叶类,285.265
2022-12-22,花叶类,223.248
2022-12-23,花叶类,210.784
2022-12-24,花叶类,285.085
2022-12-25,花叶类,362.94
2022-12-26,花叶类,253.075
2022-12-27,花叶类,253.518
2022-12-28,花叶类,257.429
2022-12-29,花叶类,237.407
2022-12-30,花叶类,244.088
2022-12-31,花叶类,329.509
2023-01-01,花叶类,329.635
2023-01-02,花叶类,287.812
2023-01-03,花叶类,215.984
2023-01-04,花叶类,171.91
2023-01-05,花叶类,186.069
2023-01-06,花叶类,202.912
2023-01-07,花叶类,187.324
2023-01-08,花叶类,219.372
2023-01-09,花叶类,185.585
2023-01-10,花叶类,200.196
2023-01-11,花叶类,185.254
2023-01-12,花叶类,202.709
2023-01-13,花叶类,215.635
2023-01-14,花叶类,447.993
2023-01-15,花叶类,278.968
2023-01-16,花叶类,216.173
2023-01-17,花叶类,180.232
2023-01-18,花叶类,281.893
2023-01-19,花叶类,371.074
2023-01-20,花叶类,594.071
2023-01-22,花叶类,219.378
2023-01-23,花叶类,291.352
2023-01-24,花叶类,205.447
2023-01-25,花叶类,245.072
2023-01-26,花叶类,272.125
2023-01-27,花叶类,283.135
2023-01-28,花叶类,235.443
2023-01-29,花叶类,229.694
2023-01-30,花叶类,216.18
2023-01-31,花叶类,202.836
2023-02-01,花叶类,156.42
2023-02-02,花叶类,204.688
2023-02-03,花叶类,189.282
2023-02-04,花叶类,252.725
2023-02-05,花叶类,281.351
2023-02-06,花叶类,179.662
2023-02-07,花叶类,154.543
2023-02-08,花叶类,161.297
2023-02-09,花叶类,203.645
2023-02-10,花叶类,175.847
2023-02-11,花叶类,243.908
2023-02-12,花叶类,309.307
2023-02-13,花叶类,226.189
2023-02-14,花叶类,160.285
2023-02-15,花叶类,184.475
2023-02-16,花叶类,155.351
2023-02-17,花叶类,160.609
2023-02-18,花叶类,285.815
2023-02-19,花叶类,230.404
2023-02-20,花叶类,138.164
2023-02-21,花叶类,150.154
2023-02-22,花叶类,138.874
2023-02-23,花叶类,154.467
2023-02-24,花叶类,134.956
2023-02-25,花叶类,219.47
2023-02-26,花叶类,243.01
2023-02-27,花叶类,136.926
2023-02-28,花叶类,115.968
2023-03-01,花叶类,139.125
2023-03-02,花叶类,131.001
2023-03-03,花叶类,152.142
2023-03-04,花叶类,163.918
2023-03-05,花叶类,178.491
2023-03-06,花叶类,107.018
2023-03-07,花叶类,125.449
2023-03-08,花叶类,119.807
2023-03-09,花叶类,121.336
2023-03-10,花叶类,131.927
2023-03-11,花叶类,222.762
2023-03-12,花叶类,195.971
2023-03-13,花叶类,135.094
2023-03-14,花叶类,140.076
2023-03-15,花叶类,171.809
2023-03-16,花叶类,190.911
2023-03-17,花叶类,238.58
2023-03-18,花叶类,289.075
2023-03-19,花叶类,247.36599999999999
2023-03-20,花叶类,195.663
2023-03-21,花叶类,193.124
2023-03-22,花叶类,170.723
2023-03-23,花叶类,179.648
2023-03-24,花叶类,202.72
2023-03-25,花叶类,253.903
2023-03-26,花叶类,264.043
2023-03-27,花叶类,149.361
2023-03-28,花叶类,145.975
2023-03-29,花叶类,130.475
2023-03-30,花叶类,179.795
2023-03-31,花叶类,208.892
2023-04-01,花叶类,208.377
2023-04-02,花叶类,185.985
2023-04-03,花叶类,170.821
2023-04-04,花叶类,169.641
2023-04-05,花叶类,217.271
2023-04-06,花叶类,136.403
2023-04-07,花叶类,131.267
2023-04-08,花叶类,183.926
2023-04-09,花叶类,197.616
2023-04-10,花叶类,123.411
2023-04-11,花叶类,158.881
2023-04-12,花叶类,118.18
2023-04-13,花叶类,92.251
2023-04-14,花叶类,131.729
2023-04-15,花叶类,208.169
2023-04-16,花叶类,204.874
2023-04-17,花叶类,106.884
2023-04-18,花叶类,182.607
2023-04-19,花叶类,156.553
2023-04-20,花叶类,122.087
2023-04-21,花叶类,215.684
2023-04-22,花叶类,330.85
2023-04-23,花叶类,279.352
2023-04-24,花叶类,188.222
2023-04-25,花叶类,163.704
2023-04-26,花叶类,148.39
2023-04-27,花叶类,141.667
2023-04-28,花叶类,164.327
2023-04-29,花叶类,169.132
2023-04-30,花叶类,132.248
2023-05-01,花叶类,179.89
2023-05-02,花叶类,199.057
2023-05-03,花叶类,252.366
2023-05-04,花叶类,121.428
2023-05-05,花叶类,115.371
2023-05-06,花叶类,163.827
2023-05-07,花叶类,238.132
2023-05-08,花叶类,142.341
2023-05-09,花叶类,145.033
2023-05-10,花叶类,159.328
2023-05-11,花叶类,158.484
2023-05-12,花叶类,142.706
2023-05-13,花叶类,179.071
2023-05-14,花叶类,199.50900000000001
2023-05-15,花叶类,171.35
2023-05-16,花叶类,194.936
2023-05-17,花叶类,150.478
2023-05-18,花叶类,112.688
2023-05-19,花叶类,141.327
2023-05-20,花叶类,177.822
2023-05-21,花叶类,197.446
2023-05-22,花叶类,154.18
2023-05-23,花叶类,150.721
2023-05-24,花叶类,135.51
2023-05-25,花叶类,114.768
2023-05-26,花叶类,154.12
2023-05-27,花叶类,272.537
2023-05-28,花叶类,262.277
2023-05-29,花叶类,146.434
2023-05-30,花叶类,156.287
2023-05-31,花叶类,136.132
2023-06-01,花叶类,136.982
2023-06-02,花叶类,161.142
2023-06-03,花叶类,222.081
2023-06-04,花叶类,215.285
2023-06-05,花叶类,145.142
2023-06-06,花叶类,152.439
2023-06-07,花叶类,135.735
2023-06-08,花叶类,119.287
2023-06-09,花叶类,140.024
2023-06-10,花叶类,240.235
2023-06-11,花叶类,213.908
2023-06-12,花叶类,127.399
2023-06-13,花叶类,140.865
2023-06-14,花叶类,115.605
2023-06-15,花叶类,118.42
2023-06-16,花叶类,172.11
2023-06-17,花叶类,244.334
2023-06-18,花叶类,253.447
2023-06-19,花叶类,128.701
2023-06-20,花叶类,126.228
2023-06-21,花叶类,126.263
2023-06-22,花叶类,171.919
2023-06-23,花叶类,178.718
2023-06-24,花叶类,161.495
2023-06-25,花叶类,108.895
2023-06-26,花叶类,80.524
2023-06-27,花叶类,127.278
2023-06-28,花叶类,130.182
2023-06-29,花叶类,135.09
2023-06-30,花叶类,130.464
